ARTICULO;PROVEEDOR;DESCRIPCION;AÑASCO;MDP;ROS;COR;NEU
JTSB0016;TRW;BIELETA DEL TOYOTA COROLLA 315MM ROSCA M12 X 1,5;-2;2;0;0;2
6PK985-9;GATES;K060388 / 6PK985;-2;0;0;0;4
358054201;HELLA ;ESCOBILLA AERODINÁMICA 20´;-1;0;-1;0;-5
58136X25.4;GATES;CO DIST 58136x25.4/5049 P 405;-1;0;-1;0;-5
358054221;HELLA ;ESCOBILLA AERODINÁMICA 22´;-1;0;4;0;-3
05P668;LPR;P FRE DEL AUDI A3TT/VOLKSWAGEN/SKODA OCTAVIA 97/99/SURAN1.6;-1;0;0;0;-2
5PK1145-9;GATES;5PK1148;-1;0;0;0;-2
99138X15;GATES;CO DIST 99138x15/5177;-1;0;2;0;-2
6PK1790-4;GATES;K060705;-1;0;-2;0;-1
20039;PHC VALEO;CONJUNTO EMBRAGUE PD CHERY FULLWIN 1.5 (EMBUTIDO) 200X20;-1;0;0;0;-1
530063010;INA FAG;KIT DIST Chevrolet Agile-Corsa-Meriva-Prisma 1.4/1.8 8v (111x17xs);-1;0;0;0;-1
3000000144;SACHS EMBRAGUES;KIT EMBRAGUE PDR FIAT PALIO FIRE 190 X 20 (6586) (3586);-1;0;0;0;-1
13X915-9;GATES;9361 / 9360;-1;0;0;0;-1
4PK800-4;GATES;K040315 / 4PK803;-1;0;0;0;-1
6PK1535-9;GATES;K060605 / K060604;-1;0;0;0;-1
6PK1795-9;GATES;K060707 / 6PK1795;-1;0;0;0;-1
7PK1800-4;GATES;K070709 / 7PK1800;-1;0;0;0;-1
I-KG190117.4.1;HIDRAULICA IMP.;CILINDRO MAESTRO MB SPRINTER;-1;0;0;0;-1
NS118/NSC104;PHC VALEO;CONJUNTO EMBRAGUE PD RENAULT MEGANE/ SCENIC 1.6I16V (USAR CON PRB-139);-1;0;0;0;-1
SF062-44;FRENO SILENT;BBA FRENO Ford Fiesta/Ecosport 4x2 / 4x4  - 1.6 / 2.0 c/ABS (Aluminio);-1;0;0;0;-1
T38390-B;GATES;"TENSOR T38390 no es igual al ""38390""";-1;0;0;0;-1
BA419;VMG;BBA DE AGUA FORD KA 1.0 1.6 // FIESTA //;-1;0;1;0;-1
358112981T;HELLA ;ESCOBILLA LIMP.TRASERA 14´;-1;0;-3;0;0
BA698;VMG;BA698 Renault Logan // Sandero // KanG // Symbol 1,6 8 v K7M REFORZADA;-1;0;-2;0;0
63137X25XS;GATES;CO DIST 63137x25XS;-1;-1;-1;0;0
13X1030-4;GATES;9406 / 6448 / 9405;-1;0;-1;0;0
